ts,utc,ARB_price,BAS_price,ARB_disp_bps,BAS_disp_bps,spread_bps
1785744000,2026-08-03T08:00:00+00:00,1838.0287752858485,1833.479067440472,,26.105357892015657,-24.753191606965032
1785747600,2026-08-03T09:00:00+00:00,1850.58887448692,1846.258089037945,,23.195231808094565,-23.402201908167424
1785751200,2026-08-03T10:00:00+00:00,1844.2093299760654,1845.2616319319366,,7.997266541203899,5.705978918807449
1785754800,2026-08-03T11:00:00+00:00,1837.1927620822185,1842.0595235484093,,25.837680888597657,26.490205963336138
1785758400,2026-08-03T12:00:00+00:00,1842.0825177299153,1840.1774222344684,,10.362142247017934,-10.342074674236617
1785762000,2026-08-03T13:00:00+00:00,1857.3463173782834,1852.7928186418933,,24.98404881678916,-24.51615347006234
1785765600,2026-08-03T14:00:00+00:00,1871.592009661412,1866.6682200091489,,26.62173708579968,-26.308028816354724
1785769200,2026-08-03T15:00:00+00:00,1861.016273972005,1864.2971221338416,,18.820995139207202,17.629336227320294
1785772800,2026-08-03T16:00:00+00:00,1864.531835954297,1865.1391423477783,,2.772239277254561,3.257152180350613
1785776400,2026-08-03T17:00:00+00:00,1866.6850663460284,1867.6155522951096,,3.871643198990611,4.984697021777887
1785780000,2026-08-03T18:00:00+00:00,1868.2832677176405,1867.6126721162489,,3.903318435667854,-3.589367913200975
1785783600,2026-08-03T19:00:00+00:00,1869.3496477961166,1869.5032468102652,,2.7803404462807295,0.8216708646754587
1785787200,2026-08-03T20:00:00+00:00,1867.0097849441968,1869.4953280445663,,13.647540069034314,13.312962365882079
1785790800,2026-08-03T21:00:00+00:00,1863.1047284857136,1867.8603462055733,,26.249297340949735,25.52523026295403
1785794400,2026-08-03T22:00:00+00:00,1858.8363115000905,1859.3406625762677,,3.151525522086227,2.7132624484307515
1785798000,2026-08-03T23:00:00+00:00,1858.3629212691899,1859.3406978323192,,5.653324548264412,5.261494145941627
1785801600,2026-08-04T00:00:00+00:00,1849.0775222691602,1852.712800209836,,20.935745214800097,19.65995420362105
1785805200,2026-08-04T01:00:00+00:00,1866.1101065563053,1862.453397117955,,20.30827035977254,-19.59535734522228
1785808800,2026-08-04T02:00:00+00:00,1864.6882720873257,1864.66864617126,,0.6130258906108599,-0.10525038613417793
1785812400,2026-08-04T03:00:00+00:00,1863.7050179594764,1862.4416782833962,,6.602425774021555,-6.778646104969169
1785816000,2026-08-04T04:00:00+00:00,1867.501264557183,1867.6837808630864,,2.7482036005700374,0.9773289548302875
1785819600,2026-08-04T05:00:00+00:00,1863.6167856329346,1867.6725047540947,,24.48575302817086,21.76262390651669
1785823200,2026-08-04T06:00:00+00:00,1854.8555345766802,1858.9026807138746,,21.96823987477707,21.819198647823978
1785826800,2026-08-04T07:00:00+00:00,1862.466969398973,1857.76126921462,,26.051194952670397,-25.26595242583949
1785830400,2026-08-04T08:00:00+00:00,1856.7818268283804,1858.7249520937585,,11.789951218708241,10.46501660724008
1785834000,2026-08-04T09:00:00+00:00,1856.5351644763741,1857.489631425961,,5.648856451658192,5.141119693556469
1785837600,2026-08-04T10:00:00+00:00,1864.9747036263686,1865.6782194093992,,2.11629252385598,3.772253755842194
1785841200,2026-08-04T11:00:00+00:00,1871.50115680688,1867.557398613227,,21.364611513759787,-21.072699737904006
1785844800,2026-08-04T12:00:00+00:00,1874.2190089169324,1874.6096686178917,,4.519353658030655,2.084386611706907
1785848400,2026-08-04T13:00:00+00:00,1859.9524927536672,1863.9754389586963,,22.81937235683848,21.629295483096136
1785852000,2026-08-04T14:00:00+00:00,1872.1050537901517,1868.4626549834848,,19.814636012390306,-19.456166732164835
1785855600,2026-08-04T15:00:00+00:00,1872.4002798855045,1870.8223416044855,,8.549945909709393,-8.427355507100634
1785859200,2026-08-04T16:00:00+00:00,1867.4560882579558,1869.8715556426628,,12.710836725188043,12.934533775089859
1785862800,2026-08-04T17:00:00+00:00,1867.8986933846072,1870.8799625621245,,14.94511917207245,15.960550687657015
1785866400,2026-08-04T18:00:00+00:00,1874.122115335522,1873.9203907597353,,1.0254753536834493,-1.0763683654128884
1785870000,2026-08-04T19:00:00+00:00,1874.3145861569694,1874.7671570256932,,4.452510614464555,2.414593964462137
1785873600,2026-08-04T20:00:00+00:00,1874.8985867051567,1873.086456390876,,12.429107507633011,-9.665217773006226
1785877200,2026-08-04T21:00:00+00:00,1871.581653332596,1873.091062414113,,10.59251592454163,8.064885006909412
1785880800,2026-08-04T22:00:00+00:00,1873.8608522714703,1872.9492957085652,,6.634727033859354,-4.864590461987529
1785884400,2026-08-04T23:00:00+00:00,1869.147812691264,1873.5172879469765,,25.879891116400692,23.37683101381392
1785888000,2026-08-05T00:00:00+00:00,1863.0724691082273,1867.9280883826077,,27.476869874472417,26.062428353656923
